state,x,y
rajasthan,-105.0,68.0
gujarat,-128.0,31.0
maharashtra,-94.0,-17.0
karnataka,-90.0,-74.0
kerela,-85.0,-132.0
tamil nadu,-71.0,-128.0
andhra pradesh,-54.0,-74.0
telangana,-56.0,-34.0
chhattisgarh,-22.0,-6.0
odisha,7.0,-12.0
jharkhand,17.0,24.0
west bengal,47.0,16.0
bihar,19.0,50.0
uttar pradesh,-27.0,63.0
uttarakhand,-45.0,104.0
himachal pradesh,-62.0,126.0
jammu,-87.0,151.0
kashmir,-81.0,139.0
ladakh,-61.0,152.0
madhya pradesh,-61.0,24.0
sikkim,51.0,70.0
arunachal pradesh,106.0,79.0
assam,81.0,59.0
meghalaya,74.0,50.0
nagaland,115.0,56.0
manipur,107.0,42.0
mizoram,100.0,26.0
tripura,86.0,28.0
punjab,-86.0,112.0
